,precision,recall,f1-score,support
A,0.6666666666666666,0.5,0.5714285714285714,4.0
AGC,0.24545454545454545,0.7941176470588235,0.375,34.0
ASC-H,0.16058394160583941,0.4583333333333333,0.23783783783783785,48.0
ASC-US,0.3615819209039548,0.4383561643835616,0.39628482972136225,146.0
HSIL,0.5555555555555556,0.5309734513274337,0.5429864253393665,113.0
LSIL,0.3203125,0.45555555555555555,0.3761467889908257,90.0
NILM,0.8277777777777777,0.3616504854368932,0.5033783783783784,412.0
SC,0.125,0.25,0.16666666666666666,4.0
accuracy,0.4300822561692127,0.4300822561692127,0.4300822561692127,0.4300822561692127
macro avg,0.40786661349554243,0.4736233296369501,0.3962161872953761,851.0
weighted avg,0.5930216898747369,0.4300822561692127,0.4554391906842899,851.0
