model,resolution,run,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC,macro_average,micro_average,weighted_average
efficientnetb0,32,1,0.9304382790510656,0.8008962179602079,0.7588754251700681,0.6225250051030823,0.7251317270308982,0.6591514252040682,0.7248432860442098,0.8753019323671497,0.7625207400381131,0.7553573698687129,0.7067022133689724
efficientnetb0,64,1,0.9988193624557261,0.9358305133558932,0.7686150892486509,0.7015544544836297,0.7792407127611098,0.7525551175354067,0.769011102019152,0.6204250295159386,0.7910770009704735,0.8170977394397413,0.7640804051852114
efficientnetb0,128,1,0.7659254807692308,0.8447299898109363,0.7154389262391865,0.6656403940886699,0.7966076505556992,0.701660574883805,0.769591587773406,0.9947415865384616,0.7822216044219457,0.7611882577256539,0.7489696824682074
efficientnetb0,224,1,0.9949101796407186,0.8831491089555605,0.7796581688991311,0.7302842094802743,0.8468030233389511,0.7793057409879841,0.8375941903612811,0.9601796407185629,0.8517772711175151,0.8797753684615989,0.8134365579321179
mobilenetv2,32,1,0.5729794933655006,0.6462089980283204,0.5033482142857143,0.517018779342723,0.6264131880499284,0.583002313501244,0.5428264657023621,0.6947463768115942,0.5862889228490629,0.7611743349799239,0.5566733403256797
mobilenetv2,64,1,0.9707792207792207,0.7929116567067465,0.6709085720215856,0.5843000097153406,0.6864942321989591,0.6568477149948898,0.6678378707123427,0.6883116883116883,0.7151726964128423,0.7403273203354949,0.6615113021872814
mobilenetv2,128,1,0.8473557692307692,0.8203139741122306,0.6083520084821321,0.6128899835796388,0.7296652881881623,0.6896575064302153,0.6953660590024227,0.8514122596153846,0.7322927327606812,0.7704657467941276,0.686185062255994
mobilenetv2,224,1,0.9967065868263474,0.9218362282878412,0.8530414326179845,0.7580393520818841,0.8459220673101476,0.7863076694852394,0.8302666924670475,0.9964071856287425,0.8738673532346443,0.8984021543001883,0.821691038288466
resnet50,32,1,0.9525532770406112,0.8712314034773256,0.7863520408163265,0.7122678097570933,0.8099869551872315,0.7613819896110698,0.775744210410553,0.8529589371980677,0.8156564650135099,0.82324879147295,0.773387713694919
resnet50,64,1,0.9932113341204251,0.9026387788897688,0.7952340182648402,0.74652676576314,0.8624781159316017,0.7769966418455249,0.7863994736492912,0.43358913813459266,0.7874536938819028,0.8497992960517867,0.7931226428428662
resnet50,128,1,0.8037860576923077,0.8687308955054909,0.8046097496325212,0.7549055829228244,0.8339687257689324,0.7963915587443406,0.8344587435496527,0.9974459134615385,0.8370630673612506,0.8677247503818266,0.817115296723059
resnet50,224,1,0.9991017964071857,0.8954432664110084,0.8963464400595322,0.7982758620689656,0.8841351309943313,0.849606883251743,0.8697412752976529,1.0,0.8993144944202056,0.91520050849862,0.8609954812328386
